city,country,population,woeid,bars,public_transport,temperature,weather_description,last_updated,score
dublin,ireland,527612,560743,1400,2,8,Heavy Cloud,07.03.2018,3
london,united kingdom,8787892,44418,696,6,8,Light Rain,07.03.2018,3.75
berlin,germany,3670622,638242,275,2,1,Snow,07.03.2018,1.25
madrid,spain,3182981,766273,412,4,,,,
rome,italy,2879215,721943,410,8,11,Heavy Rain,07.03.2018,3
paris,france,2228409,615702,274,8,8,Heavy Rain,07.03.2018,2.75
bucharest,romania,2106144,868274,342,4,,,,
vienna,austria,1889083,551801,409,2,,,,
hamburg,germany,1787408,656958,68,6,,,,
budapest,hungary,1759407,804365,136,5,6,Heavy Rain,07.03.2018,1.5
warsaw,poland,1753977,523920,406,8,,,,
barcelona,spain,1620809,753692,539,5,,,,
munich,germany,1464301,676757,202,1,7,Showers,07.03.2018,1.5
milan,italy,1368590,718345,201,6,6,Thunder,07.03.2018,2
prague,czech republic,1280508,796597,67,6,,,,
sofia,bulgaria,1260120,839722,468,10,,,,
brussels,belgium,1191604,968019,598,9,,,,
birmingham,united kingdom,1124600,12723,530,3,,,,
cologne,germany,1080701,667931,462,8,,,,
naples,italy,970185,719258,395,2,,,,
stockholm,sweden,949164,906057,195,6,,,,
turin,italy,886837,725003,194,5,6,Showers,07.03.2018,2.5
marseille,france,869815,610264,194,1,,,,
amsterdam,netherlands,856928,727232,258,2,,,,
zagreb,croatia,806920,851128,449,10,,,,
valencia,spain,787808,776688,254,6,,,,
leeds,united kingdom,781700,26042,380,3,,,,
krakow,poland,766739,502075,632,7,,,,
frankfurt,germany,736414,650272,63,5,9,Showers,07.03.2018,2.25
riga,latvia,700518,854823,63,8,,,,
lodz,poland,693797,505120,563,10,,,,
seville,spain,689434,774508,250,7,,,,
palermo,italy,673735,719846,624,3,,,,
zaragoza,spain,664938,779063,250,3,,,,
athens,greece,655780,946738,620,10,14,Light Cloud,07.03.2018,5.75
helsinki,finland,642045,565346,185,3,,,,
rotterdam,netherlands,639269,733075,247,8,,,,
wroclaw,poland,638364,526363,493,9,,,,
stuttgart,germany,628032,698064,123,7,,,,
dusseldorf,germany,612178,646099,307,9,,,,
glasgow,united kingdom,606340,21125,430,3,,,,
copenhagen,denmark,602481,554890,553,5,,,,
genoa,italy,583601,716085,614,4,,,,
dortmund,germany,586181,645458,306,7,,,,
essen,germany,582624,648820,61,6,,,,
sheffield,united kingdom,569737,34503,181,6,,,,
malaga,spain,569002,766356,482,5,,,,
leipzig,germany,571088,671072,120,8,,,,
bremen,germany,557464,641142,420,3,,,,
dublin,ireland,553165,560743,60,5,,,,
lisbon,portugal,547733,742676,119,10,15,Light Rain,07.03.2018,3.75
dresden,germany,547172,645686,119,8,,,,
vilnius,lithuania,546526,479616,356,9,,,,
poznan,poland,574221,514048,178,4,,,,
gothenburg,sweden,563439,890869,176,9,,,,
hanover,germany,532163,657169,470,6,,,,
the hague,netherlands,532111,657169,529,10,,,,
bradford,united kingdom,531176,13527,234,2,,,,
manchester,united kingdom,530292,28218,350,2,,,,
antwerp,belgium,521946,966591,582,4,,,,
lyon,france,521098,609125,58,7,,,,
nuremberg,germany,511628,680564,57,5,,,,
edinburgh,united kingdom,498810,19344,400,1,,,,
duisburg,germany,491231,645877,572,1,,,,
las palmas,spain,479655,764814,57,10,,,,
toulouse,france,479638,628886,515,9,,,,
liverpool,united kingdom,478580,26734,228,6,,,,
gdansk,poland,462249,493417,568,7,,,,
bristol,united kingdom,449328,13963,170,7,,,,
tallinn,estonia,449160,845743,508,9,,,,
murcia,spain,443243,768026,395,7,,,,
bratislava,slovakia slovak republic,422932,818717,564,2,,,,
szczecin,poland,405657,521598,279,1,,,,
palma,spain,400578,769293,111,7,,,,
bologna,italy,388367,711080,55,10,,,,
florence,italy,382258,715496,554,7,,,,
brno,czech republic,377973,786869,164,9,,,,
bochum,germany,364742,639679,328,4,,,,
iasi,romania,362142,873915,326,9,,,,
cardiff,united kingdom,357160,15127,540,9,,,,
bydgoszcz,poland,355645,488820,107,5,,,,
wuppertal,germany,350046,708228,534,6,,,,
utrecht,netherlands,347644,734047,479,4,,,,
nice,france,346055,614274,532,10,,,,
coventry,united kingdom,345385,17044,477,1,,,,
bilbao,spain,345141,754542,371,4,,,,
leicester,united kingdom,342627,26062,370,6,,,,
plovdiv,bulgaria,341625,838804,211,8,,,,
lublin,poland,340727,505477,528,9,,,,
belfast,united kingdom,339600,44544,475,3,,,,
varna,bulgaria,334466,840430,473,10,,,,
wakefield,united kingdom,333759,38952,526,6,,,,
malmo,sweden,333633,898091,367,10,,,,
bielefeld,germany,333090,638806,105,7,,,,
timisoara,romania,332983,881802,156,6,,,,
alicante,spain,329988,752101,103,5,,,,
cordoba,spain,325916,758007,514,4,,,,
aarhus,denmark,335684,552015,308,3,,,,
thessaloniki,greece,322240,963291,410,3,,,,
bari,italy,324198,710722,153,4,,,,
cluj,romania,321687,869897,357,8,,,,
constanta,romania,317832,870151,204,5,,,,
catania,italy,313396,713571,254,4,,,,
galway,ireland,258552,560912,198,1,,,,
belfast,ireland,333871,44544,102,1,,,,
limerick,ireland,195175,561536,90,0,,,,
cork,ireland,119230,560472,134,2,,,,
